Package,Version
abind,1.4-5
askpass,1.1
assertthat,0.2.1
backports,1.1.5
base64enc,0.1-3
bayestestR,0.5.2
bdsmatrix,1.3-4
BH,1.72.0-3
bibtex,0.4.2.2
bitops,1.0-6
broom,0.5.5
callr,3.4.2
car,3.0-7
carData,3.0-3
cellranger,1.1.0
cli,2.0.2
clipr,0.7.0
clubSandwich,0.4.1
colorspace,1.4-1
cowplot,1.0.0
crayon,1.3.4
crosstalk,1.1.0.1
curl,4.3
data.table,1.12.8
DBI,1.1.0
dbplyr,1.4.2
desc,1.2.0
digest,0.6.25
dplyr,0.8.5
dummies,1.5.6
effectsize,0.2.0
ellipsis,0.3.0
evaluate,0.14
fansi,0.4.1
farver,2.0.3
forcats,0.5.0
Formula,1.2-3
fs,1.3.2
gbRd,0.4-11
generics,0.0.2
ggplot2,3.3.0
ggpubr,0.2.5
ggrepel,0.8.2
ggridges,0.5.2
ggsci,2.9
ggsignif,0.6.0
ggthemes,4.2.0
glue,1.3.1
gridExtra,2.3
gtable,0.3.0
gvlma,1.0.0.3
haven,2.2.0
hexbin,1.28.1
highr,0.8
hms,0.5.3
htmltools,0.4.0
htmlwidgets,1.5.1
httr,1.4.1
insight,0.8.2
isoband,0.2.0
jsonlite,1.6.1
knitr,1.28
labeling,0.3
later,1.0.0
lazyeval,0.2.2
lifecycle,0.2.0
lme4,1.1-21
lmtest,0.9-37
lubridate,1.7.4
magrittr,1.5
maptools,0.9-9
markdown,1.1
MatrixModels,0.4-1
maxLik,1.3-8
mime,0.9
minqa,1.2.4
miscTools,0.6-26
modelr,0.1.6
multiwayvcov,1.2.3
munsell,0.5.0
nloptr,1.2.2.1
openssl,1.4.1
openxlsx,4.1.4
parameters,0.6.0
pbkrtest,0.4-8.6
performance,0.4.4
pillar,1.4.3
pkgbuild,1.0.6
pkgconfig,2.0.3
pkgload,1.0.2
plm,2.2-3
plogr,0.2.0
plotly,4.9.2
plyr,1.8.6
polynom,1.4-0
praise,1.0.0
prettyunits,1.1.1
processx,3.4.2
progress,1.2.2
promises,1.1.0
ps,1.3.2
purrr,0.3.3
quantreg,5.54
R6,2.4.1
randomForest,4.6-14
RColorBrewer,1.1-2
Rcpp,1.0.3
RcppEigen,0.3.3.7.0
RCurl,1.98-1.1
Rdpack,0.11-1
readr,1.3.1
readxl,1.3.1
rematch,1.0.1
reprex,0.3.0
reshape2,1.4.3
rio,0.5.16
rlang,0.4.5
rmarkdown,2.1
rprojroot,1.3-2
rstudioapi,0.11
rvest,0.3.5
sandwich,2.5-1
scales,1.1.0
see,0.4.1
selectr,0.4-2
sp,1.4-1
SparseM,1.78
stringi,1.4.6
stringr,1.4.0
sys,3.3
testthat,2.3.2
tibble,2.1.3
tidyr,1.0.2
tidyselect,1.0.0
tidyverse,1.3.0
tinytex,0.20
utf8,1.1.4
vctrs,0.2.4
viridisLite,0.3.0
whisker,0.4
withr,2.1.2
xfun,0.12
xml2,1.2.5
yaml,2.2.1
zip,2.0.4
zoo,1.8-7
base,3.6.3
boot,1.3-24
class,7.3-15
cluster,2.1.0
codetools,0.2-16
compiler,3.6.3
datasets,3.6.3
foreign,0.8-75
graphics,3.6.3
grDevices,3.6.3
grid,3.6.3
KernSmooth,2.23-16
lattice,0.20-38
MASS,7.3-51.5
Matrix,1.2-18
methods,3.6.3
mgcv,1.8-31
nlme,3.1-144
nnet,7.3-12
parallel,3.6.3
rpart,4.1-15
spatial,7.3-11
splines,3.6.3
stats,3.6.3
stats4,3.6.3
survival,3.1-8
tcltk,3.6.3
tools,3.6.3
translations,3.6.3
utils,3.6.3
